"","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","e","alpha","management","MC","implementYear","Year","Catch","Price"
"20","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2022,1704.77866722132,44424.9408462691
"21","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2022,671.876171264206,99829.8837958338
"22","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2023,1473.98600640744,50415.180828376
"23","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2023,1722.35199331501,44030.5279724627
"24","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2023,755.706319485438,90127.4841028978
"25","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2024,1496.35851534037,49759.0836199414
"26","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2024,1739.48107237446,43653.259756779
"27","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2024,841.468022915586,82084.6547655431
"28","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2025,1518.26528848035,49134.1757395118
"29","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2025,1756.16986889171,43292.309479899
"30","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2025,934.984502796164,74897.0586054264
"31","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2026,1539.70224356297,48538.7762796789
"32","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2026,1772.42285632882,42946.8959695016
"33","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2026,1025.92653954794,69089.3294731277
"34","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2027,1560.66641398415,47971.3090107343
"35","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2027,1788.24497339505,42616.2807137593
"36","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2027,1113.7216999306,64328.2770549813
"37","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2028,1581.15589071166,47430.2949081006
"38","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2028,1803.64158189584,42299.7651816957
"39","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2028,1197.91114537152,60378.4535835953
"40","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2029,1601.16976365117,46914.3452763549
"41","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2029,1818.61842622589,41996.6883340588
"42","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2029,1280.74436063842,56968.0933234457
"43","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2030,1620.70806287224,46422.1554178607
"44","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2030,1833.1815945611,41706.4243097641
"45","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2030,1362.7365088642,53975.5889125095
"46","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2031,1639.77170006078,45952.4987988836
"47","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2031,1847.33748178755,41428.3802742253
"48","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2031,1439.54278982203,51462.47923472
"49","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2032,1658.3624105259,45504.2216704457
"50","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2032,1861.09275419107,41161.9944170467
"51","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2032,1511.12107313993,49336.1087962903
"52","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2033,1676.48269605197,45076.238105121
"53","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2033,1874.45431591799,40906.7340875969
"54","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2033,1577.51576410915,47525.4507509529
"55","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2034,1694.13576885091,44667.5254145316
"56","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2034,1887.4292772053,40662.0940579434
"57","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2034,1638.84169929025,45975.1734975826
"58","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2035,1711.32549683586,44277.1199155171
"59","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2035,1900.02492436856,40427.5949034932
"60","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2035,1695.26903511132,44641.5593387179
"61","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2036,1728.05635040505,43904.1130158506
"62","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2036,1912.2486915263,40202.7814924828
"63","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2036,1747.0095381276,43489.6337695831
"64","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2037,1744.33335089454,43547.6475929944
"65","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2037,1924.10813403193,39987.221576181
"66","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2037,1799.83207172629,42377.6077867138
"67","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2038,1760.16202083035,43206.9146417608
"68","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2038,1935.61090357706,39780.5044723306
"69","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2038,1856.75638383034,41245.5747150687
"70","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2039,1775.54833608459,42881.1501688843
"71","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2039,1946.76472492464,39582.2398349582
"72","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2039,1906.7142549959,40304.2342670749
"73","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2040,1790.49868001597,42569.6323144564
"74","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2040,1957.57737422513,39392.0565042308
"75","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2040,1950.42156063546,39517.699290637
"76","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2041,1805.01979965352,42271.6786819291
"77","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2041,1968.05665886518,39209.6014305441
"78","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2041,1988.55707395351,38857.8691594029
"79","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2042,1819.11876396244,41986.6438599911
"80","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2042,1978.21039879489,39034.5386674855
"81","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2042,2021.75332697909,38302.464202516
"82","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2043,1832.80292421297,41713.9171210633
"83","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2043,1988.04640927757,38866.5484287386
"84","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2043,2050.59168251846,37833.6287509541
"85","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2044,1846.07987645773,41452.9202824743
"86","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2044,1997.57248500376,38705.3262043808
"87","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2044,2075.60054267934,37436.9189097436
"88","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2045,1858.95742610838,41203.1057175697
"89","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2045,2006.79638551042,38550.5819323795
"90","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2045,2097.25580530374,37100.5562262274
"91","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2046,1871.4435545903,40963.9545050871
"92","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2046,2015.72582184515,38402.0392214174
"93","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2046,2115.98285794673,36814.8686823436
"94","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2047,1883.54638804343,40734.9747061194
"95","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2047,2024.36844441548,38259.4346214721
"96","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2047,2132.15955842141,36571.8659749935
"97","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2048,1895.27416802771,40515.6997588811
"98","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2048,2032.73183196311,38122.5169388516
"99","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2048,2146.11978654531,36364.9126107956
"100","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2049,1906.63522418418,40305.686982308
"101","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2049,2040.82348160363,37991.0465926344
"102","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2049,2158.15726289975,36188.473300991
"103","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2050,1917.63794879591,40104.5161802641
"104","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2050,2048.65079987328,37864.7950096944
"105","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2050,2168.52941885771,36037.9125273867
"106","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2051,1928.29077318782,39911.7883388077
"107","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2051,2056.22109472512,37743.5440557014
"108","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2051,2177.46117070048,35909.3352099828
"109","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2052,1938.60214589997,39727.1244095831
"110","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2052,2063.54156841848,37627.0854996831
"111","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2052,2185.14850255687,35799.4589267155
"112","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2053,1948.58051256568,39550.1641729695
"113","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2053,2070.61931124708,37515.2205099121
"114","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2053,2191.76180130904,35705.5106189715
"115","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2054,1958.23429742349,39380.5651751329
"116","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2054,2077.46129605274,37407.7591790457
"117","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2054,2197.44891435081,35625.1424915589
"118","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2055,1967.57188639011,39218.0017335949
"119","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2055,2084.07437347358,37304.5200765987
"120","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2055,2202.33792058141,35556.3631002865
"121","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2056,1976.6016116209,39062.1640063632
"122","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2056,2090.46526787724,37205.3298269686
"123","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2056,2206.53961826717,35497.480560627
"124","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2057,1985.33173748367,38912.7571200608
"125","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2057,2096.64057393176,37110.0227113591
"126","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2057,2210.14974200929,35447.0555069178
"127","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2058,1993.77044787228,38769.500352848
"128","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2058,2102.60675376876,37018.4402920694
"129","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2058,2213.25092627216,35403.8619521238
"130","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2059,2001.92583478669,38632.1263682637
"131","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2059,2108.3701346953,36930.4310577235
"132","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2059,2215.91443572247,35366.8545914854
"133","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2060,2009.80588810772,38500.3804964092
"134","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2060,2113.93690741329,36845.8500881154
"135","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2060,2218.20168373464,35335.141393397
"136","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2061,2017.4184864957,38374.0200591787
"137","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2061,2119.31312470671,36764.5587374397
"138","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2061,2220.16556037964,35307.9605518615
"139","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2062,2024.77138934434,38252.8137364873
"140","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2062,2124.50470055964,36686.4243347619
"141","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2062,2221.85159043146,35284.6610543159
"142","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2063,2031.87222972265,38136.5409706869
"143","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2063,2129.51740966931,36611.3199006634
"144","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2063,2223.29894068659,35264.6862592143
"145","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2064,2038.72850824037,38024.991406566
"146","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2064,2134.35688732088,36539.123879069
"147","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2064,2224.54129440358,35247.5599888087
"148","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2065,2045.34758777414,37917.9643645306
"149","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2065,2139.02862959231,36469.7198833321
"150","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2065,2225.60760907165,35232.8747309648
"151","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"SQ",1,2017,2016,179770.061336828,2208.70728583933
"152","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"FMSY",1,2017,2016,179770.061336828,2208.70728583933
"153","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"econOpt",1,2017,2016,179770.061336828,2208.70728583933
"154","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"SQ",1,2017,2017,188718.957590232,2117.34650118191
"155","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"FMSY",1,2017,2017,197665.890173827,2033.75945337472
"156","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"econOpt",1,2017,2017,238.407172571937,701816.257119658
"157","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"SQ",1,2017,2018,197910.335630952,2031.5749624854
"158","Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks",-1.15,1260306728.74482,"FMSY",1,2017,2018,207014.466948005,1953.65697204165
