県名,データ年,海面漁業生産額,水産食料品生産額,海面漁業県内需要,水産食料品県内需要,海面漁業移輸出,水産食料品移輸出,海面漁業移輸入,水産食料品移輸入,水産食料品の海面漁業への需要,家計消費の海面漁業への需要,海面漁業移輸出率,水産食料品移輸出率,海面漁業移輸入率,水産食料品移輸入率,海面漁業自給率,水産食料品自給率,海面漁業生産額における水産食料品の占める割合,海面漁業生産額における家計消費の占める割合,移出&水産食料品&家計消費,海面漁業_影響力係数,海面漁業_感応度係数
滋賀,2011,2598,NA,9456,NA,2052,NA,8910,NA,NA,3858,0.789838337,NA,0.942258883,NA,0.057741117,NA,0,0.085744892,0.875583229,0.956851326,0.825012504
京都,2011,3734,22236,16408,56770,2271,16037,14946,50572,3763,5655,0.608194965,0.721217845,0.910897123,0.890822618,0.089102877,0.109177382,0.089794891,0.134942894,0.832932751,0.947758337,0.80725801
大阪,2013,3148,62245,30820,264531,763,40264,28435,242550,9306,9934,0.242376112,0.646863202,0.922615185,0.916905769,0.077384815,0.083094231,0.228762099,0.244199731,0.715337942,0.893217237,0.735530472
兵庫,2015,45668,104564,50777,179316,7718,81381,12827,156133,18979,14838,0.169002365,0.778288895,0.252614373,0.87071427,0.747385627,0.12928573,0.310603307,0.24283323,0.722438902,0.976801835,0.964397687
奈良,2011,145,NA,5691,NA,66,NA,5612,NA,NA,86,0.455172414,NA,0.986118433,NA,0.013881567,NA,0,0.008233205,0.463405619,0.936795731,0.822380193
和歌山,2015,15519,18749,9177,33597,11397,10917,5055,25765,4401,2508,0.734390102,0.582271054,0.550833606,0.766883948,0.449166394,0.233116052,0.127378137,0.07258904,0.934357279,0.976918336,0.896511809
鳥取,2011,17036,NA,51875,NA,9941,NA,44780,NA,NA,1301,0.583528997,NA,0.863228916,NA,0.136771084,NA,NA,0.010444892,0.593973889,0.90679003,0.811422239
島根,2015,23537,NA,12676,NA,12696,NA,1835,NA,NA,1535,0.539406042,NA,0.144761754,NA,0.855238246,NA,NA,0.055775617,0.595181659,0.892489236,0.88682077
岡山,2011,8318,NA,10370,NA,4241,NA,6293,NA,NA,3502,0.509858139,NA,0.606846673,NA,0.393153327,NA,NA,0.165523317,0.675381456,0.933829008,0.777560084
広島,2011,25533,NA,34908,NA,18023,NA,27398,NA,NA,8119,0.705870834,NA,0.784863069,NA,0.215136931,NA,NA,0.068409382,0.774280216,0.898159006,0.733588446
山口,2011,21165,NA,20396,NA,12521,NA,11752,NA,NA,5785,0.591589889,NA,0.57619141,NA,0.42380859,NA,NA,0.115839012,0.707428901,0.965081252,0.797310786
徳島,2011,10110,NA,7021,NA,8111,NA,5022,NA,NA,1620,0.802274975,NA,0.715282723,NA,0.284717277,NA,NA,0.045622353,0.847897328,0.960221767,0.818602353
香川,2015,21028,NA,14624,NA,18346,NA,11942,NA,NA,2367,0.872455773,NA,0.816602845,NA,0.183397155,NA,NA,0.020643954,0.893099727,0.995385136,0.785848773
愛媛,2015,84279,60136,29059,56157,69927,50355,14707,46376,17071,3859,0.829708468,0.837352002,0.506108263,0.825827591,0.493891737,0.174172409,0.100039462,0.022614509,0.95236244,1.082219635,0.945399864
高知,2015,56639,NA,26543,NA,41068,NA,10972,NA,NA,8359,0.725083423,NA,0.413366989,NA,0.586633011,NA,NA,0.086577541,0.811660964,1.050015545,0.943164848
福岡,2015,30665,NA,51667,NA,21823,NA,42825,NA,NA,11882,0.711658242,NA,0.82886562,NA,0.17113438,NA,NA,0.066310735,0.777968978,0.968882241,0.750859574
佐賀,2015,28340,NA,16291,NA,27037,NA,14987,NA,NA,2097,0.954022583,NA,0.919955804,NA,0.080044196,NA,NA,0.005922819,0.959945402,1.00532778,0.800728321
長崎,2015,100737,NA,58089,NA,61206,NA,18558,NA,NA,4452,0.60758212,NA,0.319475288,NA,0.680524712,NA,NA,0.030075305,0.637657425,0.993443153,0.905286871
熊本,2011,35446,NA,20445,NA,17479,NA,2478,NA,NA,4624,0.49311629,NA,0.121203228,NA,0.878796772,NA,NA,0.114640757,0.607757047,1.074618873,0.848790789
大分,2015,41388,NA,23414,NA,31519,NA,12545,NA,NA,2647,0.761549241,NA,0.535790553,NA,0.464209447,NA,NA,0.029688857,0.791238098,1.008847111,0.856160691
宮崎,2015,50568,NA,10997,NA,44439,NA,4867,NA,NA,2381,0.878796868,NA,0.442575248,NA,0.557424752,NA,NA,0.026246408,0.905043275,1.018166013,0.81390523
鹿児島,2015,108986,NA,46234,NA,73229,NA,10477,NA,NA,3701,0.671911989,NA,0.226608124,NA,0.773391876,NA,NA,0.02626322,0.698175209,1.109538286,0.89351482
沖縄,2015,16248,NA,8203,NA,7831,NA,1185,NA,NA,1620,0.481967011,NA,0.144459344,NA,0.855540656,NA,NA,0.085301321,0.567268332,0.944912678,0.796274953
