"time","management","biomass","harvest","profit","manag"
18,"BAU",92437169.531438,3225354.40059159,1155148306.02134,"BAU"
18,"econOpt",84519727.3667452,3736921.53167646,2359241820.26965,"Econ. opt."
18,"FMSY",95125289.2107983,3464600.78023447,4077793279.72542,"FMSY"
19,"BAU",93472241.7453735,3239875.44530171,1168393421.46309,"BAU"
19,"econOpt",85362637.6886526,3811771.44580541,2383548391.11876,"Econ. opt."
19,"FMSY",96235964.0710578,3501391.22526747,4142188242.91205,"FMSY"
20,"BAU",94508807.0545548,3255012.75555883,1183351192.61189,"BAU"
20,"econOpt",86152899.5576603,3883107.4203429,2407044828.85051,"Econ. opt."
20,"FMSY",97340335.9600976,3537994.20070855,4206474441.39464,"FMSY"
21,"BAU",95545556.4732867,3270695.76349287,1199840207.68296,"BAU"
21,"econOpt",86891946.1860246,3950988.02613926,2429757335.6528,"Econ. opt."
21,"FMSY",98437530.6730489,3574375.72559324,4270551914.83065,"FMSY"
22,"BAU",96581256.8933672,3286859.09079473,1217693982.07509,"BAU"
22,"econOpt",87581293.2562737,4020869.32684745,2451698357.95809,"Econ. opt."
22,"FMSY",99526733.5065273,3610504.47476703,4334330645.50266,"FMSY"
23,"BAU",97614747.2430033,3303442.10162905,1236759563.74176,"BAU"
23,"econOpt",88217138.1817322,4099908.95796102,2472785451.76922,"Econ. opt."
23,"FMSY",100607185.919859,3646351.5793602,4397729516.76443,"FMSY"
24,"BAU",98644935.0540968,3320388.50805357,1256896302.76254,"BAU"
24,"econOpt",88788536.2222716,4172818.32206955,2492710905.91605,"Econ. opt."
24,"FMSY",101678182.574636,3681890.45328577,4460675422.824,"FMSY"
25,"BAU",99670793.3695761,3337646.0205979,1277974762.18154,"BAU"
25,"econOpt",89299704.4013653,4239643.67417047,2511459654.84981,"Econ. opt."
25,"FMSY",102739068.68075,3717096.64090479,4523102502.03189,"FMSY"
26,"BAU",100691357.93342,3355166.03776534,1299875750.72927,"BAU"
26,"econOpt",89755037.3364996,4300943.77245411,2528994647.71283,"Econ. opt."
26,"FMSY",103789237.591843,3751947.68201205,4584951471.64052,"FMSY"
27,"BAU",101705724.615259,3372903.36915045,1322489460.99666,"BAU"
27,"econOpt",90158576.1475412,4356531.46108152,2545247726.28477,"Econ. opt."
27,"FMSY",104828128.604645,3786422.99107832,4646169046.48085,"FMSY"
28,"BAU",102713047.02926,3390815.98764686,1345714699.09605,"BAU"
28,"econOpt",90514724.8084968,4406498.90838744,2560190624.24909,"Econ. opt."
28,"FMSY",105855224.925762,3820503.74829648,4706707427.487,"FMSY"
29,"BAU",103712534.313623,3408864.80687811,1369458193.90874,"BAU"
29,"econOpt",90827961.8237474,4451166.48287,2573827572.657,"Econ. opt."
29,"FMSY",106870051.776652,3854172.8004596,4766523848.72801,"FMSY"
30,"BAU",104703449.042633,3427013.48054122,1393633975.75359,"BAU"
30,"econOpt",91102597.3656741,4490895.29774389,2586184107.97307,"Econ. opt."
30,"FMSY",107872174.613267,3887414.57007911,4825580173.75531,"FMSY"
31,"BAU",105685105.248023,3445228.22082506,1418162815.77323,"BAU"
31,"econOpt",91342714.6548454,4526070.70384766,2597305811.82492,"Econ. opt."
31,"FMSY",108861197.441415,3920214.97145365,4883842533.77698,"FMSY"
32,"BAU",106656866.530416,3463477.63346669,1442971718.56942,"BAU"
32,"econOpt",91552129.1751222,4557087.66651584,2607254854.6978,"Econ. opt."
32,"FMSY",109836761.21261,3952561.33264073,4941281001.52693,"FMSY"
33,"BAU",107618144.245153,3481732.56735121,1467993461.66514,"BAU"
33,"econOpt",91734364.0040197,4589198.25833904,2616105458.01239,"Econ. opt."
33,"FMSY",110798542.28814,3984442.32247793,4997869295.78314,"FMSY"
34,"BAU",108568395.749683,3499965.97685289,1493166176.25939,"BAU"
34,"econOpt",91887779.1947578,4619672.63248585,2623729415.16075,"Econ. opt."
34,"FMSY",111746250.961551,4015847.88195674,5053584512.36382,"FMSY"
35,"BAU",109507122.702253,3518152.79536502,1518432964.49693,"BAU"
35,"econOpt",92013455.8601719,4644835.71440564,2630122620.30556,"Econ. opt."
35,"FMSY",112679630.031686,4046769.15937941,5108406878.13705,"FMSY"
36,"BAU",110433869.403718,3536269.81868082,1543741549.11929,"BAU"
36,"econOpt",92116187.1818431,4665687.07226192,2635458237.22548,"Econ. opt."
36,"FMSY",113598453.420047,4077198.44883245,5162319525.15403,"FMSY"
37,"BAU",111348221.176122,3554295.59707144,1569043951.9151,"BAU"
37,"econOpt",92199864.2812732,4682874.57731458,2639868973.86633,"Econ. opt."
37,"FMSY",114502524.827599,4107129.13159441,5215308282.48433,"FMSY"
38,"BAU",112249802.773174,3572210.3350654,1594296197.85893,"BAU"
38,"econOpt",92267807.0450537,4696896.05558794,2643483333.37414,"Econ. opt."
38,"FMSY",115391676.427159,4136555.62016483,5267361483.71505,"FMSY"
39,"BAU",113138276.819052,3589995.79807014,1619458042.23247,"BAU"
39,"econOpt",92322901.082572,4708309.09056958,2646434871.56271,"Econ. opt."
39,"FMSY",116265767.588457,4165473.30465722,5318469788.39127,"FMSY"
40,"BAU",114013342.272988,3607635.22509354,1644492718.36967,"BAU"
40,"econOpt",92367528.3208414,4717582.07055656,2648838304.83348,"Econ. opt."
40,"FMSY",117124683.633644,4193878.5013455,5368626015.9354,"FMSY"
41,"BAU",114874732.917988,3625113.24692435,1669366703.96583,"BAU"
41,"econOpt",92403645.9221808,4725105.21164591,2650790879.64375,"Econ. opt."
41,"FMSY",117968334.62161,4221768.40319107,5417824990.79812,"FMSY"
42,"BAU",115722215.872735,3642415.80921774,1694049504.14869,"BAU"
42,"econOpt",92432856.1056481,4731201.47681384,2652374173.57656,"Econ. opt."
42,"FMSY",118796654.159982,4249141.03220903,5466063397.77294,"FMSY"
43,"BAU",116555590.126326,3659530.1000072,1718513449.73129,"BAU"
43,"econOpt",92456466.6280695,4736136.77445853,2653656050.87029,"Econ. opt."
43,"FMSY",119609598.244008,4275995.19355726,5513339646.55493,"FMSY"
44,"BAU",117374685.095916,3676444.48122897,1742733509.25832,"BAU"
44,"econOpt",92475542.3546429,4740129.1278136,2654692592.84916,"Econ. opt."
44,"FMSY",120407144.121878,4302330.4312534,5559653744.74923,"FMSY"
45,"BAU",118179359.207743,3693148.42390068,1766687113.62355,"BAU"
45,"econOpt",92490948.7079856,4743356.70455808,2655529897.92567,"Econ. opt."
45,"FMSY",121189289.186245,4328146.9854412,5605007178.63876,"FMSY"
46,"BAU",118969498.502236,3709632.44664439,1790353992.17945,"BAU"
46,"econOpt",92503387.938087,4745964.71580799,2656205697.95228,"Econ. opt."
46,"FMSY",121956049.891908,4353445.7511421,5649402801.1087,"FMSY"
47,"BAU",119745015.264146,3725888.0572852,1813716019.3843,"BAU"
47,"econOpt",92513429.1824703,4748071.26058307,2656750771.91478,"Econ. opt."
47,"FMSY",122707460.699733,4378228.2384386,5692844726.19879,"FMSY"
48,"BAU",120505846.67872,3741907.6972922,1836757071.14027,"BAU"
48,"econOpt",92521533.2396847,4749772.22429409,2657190158.93915,"Econ. opt."
48,"FMSY",123443573.047021,4402496.53404511,5735338229.81702,"FMSY"
49,"BAU",121251953.515063,3757684.68885926,1859462890.06913,"BAU"
49,"econOpt",92528072.8953395,4751145.35080192,2657544184.36746,"Econ. opt."
49,"FMSY",124164454.344547,4426253.26422905,5776889656.2011,"FMSY"
50,"BAU",121983318.837841,3773213.18444898,1881820959.05402,"BAU"
50,"econOpt",92533349.5405246,4752253.60598004,2657829318.37352,"Econ. opt."
50,"FMSY",124870187.000587,4449501.5590503,5817506329.75878,"FMSY"
