year,prefecture,fish,value_million_JPY
2008,神奈川,abalone,117
2008,新潟,abalone,134
2008,富山,abalone,23
2008,石川,abalone,44
2008,福井,abalone,110
2008,静岡,abalone,163
2008,愛知,abalone,23
2008,三重,abalone,450
2008,京都,abalone,55
2008,大阪,abalone,1
2008,兵庫,abalone,171
2008,和歌山,abalone,149
2008,鳥取,abalone,81
2008,島根,abalone,283
2008,岡山,abalone,2
2008,広島,abalone,8
2008,山口,abalone,641
2008,徳島,abalone,554
2008,香川,abalone,18
2008,愛媛,abalone,518
2008,高知,abalone,0.25
2008,福岡,abalone,519
2008,佐賀,abalone,65
2008,長崎,abalone,686
2008,熊本,abalone,33
2008,大分,abalone,115
2008,宮崎,abalone,2
2008,鹿児島,abalone,21
2008,沖縄,abalone,0
2009,北海道,abalone,319
2009,青森,abalone,398
2009,岩手,abalone,3314
2009,宮城,abalone,1248
2009,秋田,abalone,98
2009,山形,abalone,50
2009,福島,abalone,92
2009,茨城,abalone,117
2009,千葉,abalone,474
2009,東京,abalone,8
2009,神奈川,abalone,105
2009,新潟,abalone,113
2009,富山,abalone,11
2009,石川,abalone,49
2009,福井,abalone,93
2009,静岡,abalone,132
2009,愛知,abalone,16
2009,三重,abalone,469
2009,京都,abalone,43
2009,大阪,abalone,1
2009,兵庫,abalone,142
2009,和歌山,abalone,103
2009,鳥取,abalone,58
2009,島根,abalone,251
2009,岡山,abalone,8
2009,広島,abalone,10
2009,山口,abalone,540
2009,徳島,abalone,397
2009,香川,abalone,16
2009,愛媛,abalone,436
2009,高知,abalone,0.25
2009,福岡,abalone,385
2009,佐賀,abalone,48
2009,長崎,abalone,626
2009,熊本,abalone,20
2009,大分,abalone,108
2009,宮崎,abalone,2
2009,鹿児島,abalone,17
2009,沖縄,abalone,0
2010,北海道,abalone,265
2010,青森,abalone,287
2010,岩手,abalone,2627
2010,宮城,abalone,915
2010,秋田,abalone,77
2010,山形,abalone,48
2010,福島,abalone,189
2010,茨城,abalone,163
2010,千葉,abalone,1125
2010,東京,abalone,9
2010,神奈川,abalone,138
2010,新潟,abalone,107
2010,富山,abalone,5
2010,石川,abalone,36
2010,福井,abalone,90
2010,静岡,abalone,162
2010,愛知,abalone,8
2010,三重,abalone,405
2010,京都,abalone,40
2010,大阪,abalone,1
2010,兵庫,abalone,116
2010,和歌山,abalone,99
2010,鳥取,abalone,63
2010,島根,abalone,233
2010,岡山,abalone,5
2010,広島,abalone,9
2010,山口,abalone,414
2010,徳島,abalone,369
2010,香川,abalone,12
2010,愛媛,abalone,422
2010,高知,abalone,0.25
2010,福岡,abalone,380
2010,佐賀,abalone,65
2010,長崎,abalone,704
2010,熊本,abalone,18
2010,大分,abalone,82
2010,宮崎,abalone,2
2010,鹿児島,abalone,15
2010,沖縄,abalone,0
2011,北海道,abalone,320
2011,青森,abalone,428
2011,岩手,abalone,2835
2011,宮城,abalone,536
2011,秋田,abalone,91
2011,山形,abalone,48
2011,福島,abalone,0
2011,茨城,abalone,145
2011,千葉,abalone,1463
2011,東京,abalone,8
2011,神奈川,abalone,182
2011,新潟,abalone,139
2011,富山,abalone,4
2011,石川,abalone,72
2011,福井,abalone,111
2011,静岡,abalone,182
2011,愛知,abalone,9
2011,三重,abalone,308
2011,京都,abalone,34
2011,大阪,abalone,0.25
2011,兵庫,abalone,92
2011,和歌山,abalone,76
2011,鳥取,abalone,45
2011,島根,abalone,196
2011,岡山,abalone,3
2011,広島,abalone,9
2011,山口,abalone,438
2011,徳島,abalone,331
2011,香川,abalone,17
2011,愛媛,abalone,436
2011,高知,abalone,0.25
2011,福岡,abalone,327
2011,佐賀,abalone,45
2011,長崎,abalone,676
2011,熊本,abalone,20
2011,大分,abalone,63
2011,宮崎,abalone,2
2011,鹿児島,abalone,15
2011,沖縄,abalone,0
2012,北海道,abalone,253
2012,青森,abalone,301
2012,岩手,abalone,2081
2012,宮城,abalone,565
2012,秋田,abalone,79
2012,山形,abalone,70
2012,福島,abalone,0
2012,茨城,abalone,79
2012,千葉,abalone,887
2012,東京,abalone,6
2012,神奈川,abalone,123
2012,新潟,abalone,123
2012,富山,abalone,5
2012,石川,abalone,63
2012,福井,abalone,106
2012,静岡,abalone,160
2012,愛知,abalone,16
2012,三重,abalone,298
2012,京都,abalone,29
2012,大阪,abalone,5
2012,兵庫,abalone,93
2012,和歌山,abalone,63
2012,鳥取,abalone,65
2012,島根,abalone,212
2012,岡山,abalone,4
2012,広島,abalone,11
2012,山口,abalone,377
2012,徳島,abalone,348
2012,香川,abalone,14
2012,愛媛,abalone,320
2012,高知,abalone,1
2012,福岡,abalone,309
2012,佐賀,abalone,50
2012,長崎,abalone,507
2012,熊本,abalone,19
2012,大分,abalone,83
2012,宮崎,abalone,1
2012,鹿児島,abalone,10
2012,沖縄,abalone,0
2013,北海道,abalone,335
2013,青森,abalone,261
2013,岩手,abalone,3318
2013,宮城,abalone,738
2013,秋田,abalone,64
2013,山形,abalone,50
2013,福島,abalone,0
2013,茨城,abalone,80
2013,千葉,abalone,855
2013,東京,abalone,6
2013,神奈川,abalone,135
2013,新潟,abalone,115
2013,富山,abalone,5
2013,石川,abalone,58
2013,福井,abalone,85
2013,静岡,abalone,166
2013,愛知,abalone,18
2013,三重,abalone,360
2013,京都,abalone,34
2013,大阪,abalone,2
2013,兵庫,abalone,91
2013,和歌山,abalone,73
2013,鳥取,abalone,48
2013,島根,abalone,178
2013,岡山,abalone,2
2013,広島,abalone,7
2013,山口,abalone,350
2013,徳島,abalone,432
2013,香川,abalone,12
2013,愛媛,abalone,347
2013,高知,abalone,0.25
2013,福岡,abalone,330
2013,佐賀,abalone,56
2013,長崎,abalone,498
2013,熊本,abalone,16
2013,大分,abalone,75
2013,宮崎,abalone,2
2013,鹿児島,abalone,9
2013,沖縄,abalone,0
2014,北海道,abalone,333
2014,青森,abalone,NA
2014,岩手,abalone,2841
2014,宮城,abalone,NA
2014,秋田,abalone,111
2014,山形,abalone,74
2014,福島,abalone,1
2014,茨城,abalone,87
2014,千葉,abalone,862
2014,東京,abalone,4
2014,神奈川,abalone,110
2014,新潟,abalone,143
2014,富山,abalone,8
2014,石川,abalone,67
2014,福井,abalone,93
2014,静岡,abalone,157
2014,愛知,abalone,10
2014,三重,abalone,351
2014,京都,abalone,38
2014,大阪,abalone,2
2014,兵庫,abalone,76
2014,和歌山,abalone,72
2014,鳥取,abalone,47
2014,島根,abalone,173
2014,岡山,abalone,2
2014,広島,abalone,8
2014,山口,abalone,451
2014,徳島,abalone,390
2014,香川,abalone,12
2014,愛媛,abalone,328
2014,高知,abalone,0.25
2014,福岡,abalone,335
2014,佐賀,abalone,70
2014,長崎,abalone,566
2014,熊本,abalone,18
2014,大分,abalone,51
2014,宮崎,abalone,3
2014,鹿児島,abalone,11
2014,沖縄,abalone,0
2015,北海道,abalone,473
2015,青森,abalone,453
2015,岩手,abalone,3587
2015,宮城,abalone,764
2015,秋田,abalone,156
2015,山形,abalone,118
2015,福島,abalone,2
2015,茨城,abalone,42
2015,千葉,abalone,830
2015,東京,abalone,3
2015,神奈川,abalone,76
2015,新潟,abalone,154
2015,富山,abalone,8
2015,石川,abalone,78
2015,福井,abalone,137
2015,静岡,abalone,161
2015,愛知,abalone,13
2015,三重,abalone,281
2015,京都,abalone,43
2015,大阪,abalone,1
2015,兵庫,abalone,87
2015,和歌山,abalone,67
2015,鳥取,abalone,84
2015,島根,abalone,172
2015,岡山,abalone,2
2015,広島,abalone,11
2015,山口,abalone,412
2015,徳島,abalone,340
2015,香川,abalone,14
2015,愛媛,abalone,363
2015,高知,abalone,0.25
2015,福岡,abalone,310
2015,佐賀,abalone,58
2015,長崎,abalone,489
2015,熊本,abalone,20
2015,大分,abalone,59
2015,宮崎,abalone,4
2015,鹿児島,abalone,13
2015,沖縄,abalone,0
2003,北海道,albacore_tuna,186
2003,青森,albacore_tuna,82
2003,岩手,albacore_tuna,763
2003,宮城,albacore_tuna,2792
2003,秋田,albacore_tuna,1
2003,山形,albacore_tuna,1
2003,福島,albacore_tuna,132
2003,茨城,albacore_tuna,661
2003,千葉,albacore_tuna,43
2003,東京,albacore_tuna,183
2003,神奈川,albacore_tuna,111
2003,新潟,albacore_tuna,3
2003,富山,albacore_tuna,109
2003,石川,albacore_tuna,1
2003,福井,albacore_tuna,0.25
2003,静岡,albacore_tuna,1386
2003,愛知,albacore_tuna,1
2003,三重,albacore_tuna,3785
2003,京都,albacore_tuna,1
2003,大阪,albacore_tuna,0
2003,兵庫,albacore_tuna,0.25
2003,和歌山,albacore_tuna,355
2003,鳥取,albacore_tuna,0
2003,島根,albacore_tuna,3
2003,岡山,albacore_tuna,0
2003,広島,albacore_tuna,0
2003,山口,albacore_tuna,24
2003,徳島,albacore_tuna,297
2003,香川,albacore_tuna,1
2003,愛媛,albacore_tuna,4
2003,高知,albacore_tuna,1766
2003,福岡,albacore_tuna,1
2003,佐賀,albacore_tuna,0
2003,長崎,albacore_tuna,76
2003,熊本,albacore_tuna,32
2003,大分,albacore_tuna,894
2003,宮崎,albacore_tuna,1935
2003,鹿児島,albacore_tuna,2478
2003,沖縄,albacore_tuna,932
2004,愛知,albacore_tuna,0.25
2004,愛媛,albacore_tuna,77
2004,茨城,albacore_tuna,241
2004,岡山,albacore_tuna,0
2004,沖縄,albacore_tuna,913
2004,岩手,albacore_tuna,480
2004,宮崎,albacore_tuna,2875
2004,宮城,albacore_tuna,2280
2004,京都,albacore_tuna,1
2004,熊本,albacore_tuna,33
2004,広島,albacore_tuna,0
2004,香川,albacore_tuna,0.25
2004,高知,albacore_tuna,2760
2004,佐賀,albacore_tuna,0
2004,三重,albacore_tuna,2444
2004,山形,albacore_tuna,1
2004,山口,albacore_tuna,37
2004,鹿児島,albacore_tuna,1367
2004,秋田,albacore_tuna,0.25
2004,新潟,albacore_tuna,193
2004,神奈川,albacore_tuna,190
2004,青森,albacore_tuna,353
2004,静岡,albacore_tuna,1843
2004,石川,albacore_tuna,0.25
2004,千葉,albacore_tuna,63
2004,大阪,albacore_tuna,0
2004,大分,albacore_tuna,641
2004,長崎,albacore_tuna,49
2004,鳥取,albacore_tuna,0
2004,島根,albacore_tuna,1
2004,東京,albacore_tuna,435
2004,徳島,albacore_tuna,385
2004,富山,albacore_tuna,65
2004,福井,albacore_tuna,3
2004,福岡,albacore_tuna,0.25
2004,福島,albacore_tuna,208
2004,兵庫,albacore_tuna,0.25
2004,北海道,albacore_tuna,197
2004,和歌山,albacore_tuna,306
2005,愛知,albacore_tuna,0.25
2005,愛媛,albacore_tuna,12
2005,茨城,albacore_tuna,446
2005,岡山,albacore_tuna,0
2005,沖縄,albacore_tuna,1129
2005,岩手,albacore_tuna,831
2005,宮崎,albacore_tuna,2381
2005,宮城,albacore_tuna,2559
2005,京都,albacore_tuna,1
2005,熊本,albacore_tuna,45
2005,広島,albacore_tuna,0
2005,香川,albacore_tuna,6
2005,高知,albacore_tuna,2616
2005,佐賀,albacore_tuna,0
2005,三重,albacore_tuna,2524
2005,山形,albacore_tuna,4
2005,山口,albacore_tuna,58
2005,鹿児島,albacore_tuna,1473
2005,秋田,albacore_tuna,6
2005,新潟,albacore_tuna,8
2005,神奈川,albacore_tuna,305
2005,青森,albacore_tuna,290
2005,静岡,albacore_tuna,1511
2005,石川,albacore_tuna,2
2005,千葉,albacore_tuna,154
2005,大阪,albacore_tuna,0
2005,大分,albacore_tuna,795
2005,長崎,albacore_tuna,115
2005,鳥取,albacore_tuna,0
2005,島根,albacore_tuna,3
2005,東京,albacore_tuna,201
2005,徳島,albacore_tuna,364
2005,富山,albacore_tuna,145
2005,福井,albacore_tuna,6
2005,福岡,albacore_tuna,0.25
2005,福島,albacore_tuna,250
2005,兵庫,albacore_tuna,0.25
2005,北海道,albacore_tuna,458
2005,和歌山,albacore_tuna,208
2006,北海道,albacore_tuna,263
2006,青森,albacore_tuna,87
2006,岩手,albacore_tuna,584
2006,宮城,albacore_tuna,1622
2006,秋田,albacore_tuna,NA
2006,山形,albacore_tuna,NA
2006,福島,albacore_tuna,138
2006,茨城,albacore_tuna,311
2006,千葉,albacore_tuna,101
2006,東京,albacore_tuna,168
2006,神奈川,albacore_tuna,250
2006,新潟,albacore_tuna,0.25
2006,富山,albacore_tuna,128
2006,石川,albacore_tuna,3
2006,福井,albacore_tuna,1
2006,静岡,albacore_tuna,1342
2006,愛知,albacore_tuna,0.25
2006,三重,albacore_tuna,1759
2006,京都,albacore_tuna,1
2006,大阪,albacore_tuna,0
2006,兵庫,albacore_tuna,0.25
2006,和歌山,albacore_tuna,264
2006,鳥取,albacore_tuna,0.25
2006,島根,albacore_tuna,1
2006,岡山,albacore_tuna,0
2006,広島,albacore_tuna,0
2006,山口,albacore_tuna,114
2006,徳島,albacore_tuna,623
2006,香川,albacore_tuna,2
2006,愛媛,albacore_tuna,5
2006,高知,albacore_tuna,2995
2006,福岡,albacore_tuna,0.25
2006,佐賀,albacore_tuna,0
2006,長崎,albacore_tuna,57
2006,熊本,albacore_tuna,77
2006,大分,albacore_tuna,848
2006,宮崎,albacore_tuna,3120
2006,鹿児島,albacore_tuna,1506
2006,沖縄,albacore_tuna,964
2007,北海道,albacore_tuna,NA
2007,青森,albacore_tuna,291
2007,岩手,albacore_tuna,313
2007,宮城,albacore_tuna,1641
2007,秋田,albacore_tuna,NA
2007,山形,albacore_tuna,NA
2007,福島,albacore_tuna,425
2007,茨城,albacore_tuna,276
2007,千葉,albacore_tuna,106
2007,東京,albacore_tuna,130
2007,神奈川,albacore_tuna,183
2007,新潟,albacore_tuna,0.25
2007,富山,albacore_tuna,44
2007,石川,albacore_tuna,0.25
2007,福井,albacore_tuna,1
2007,静岡,albacore_tuna,2390
2007,愛知,albacore_tuna,0
2007,三重,albacore_tuna,2047
2007,京都,albacore_tuna,0.25
2007,大阪,albacore_tuna,0
2007,兵庫,albacore_tuna,0
2007,和歌山,albacore_tuna,252
2007,鳥取,albacore_tuna,0
2007,島根,albacore_tuna,1
2007,岡山,albacore_tuna,0
2007,広島,albacore_tuna,0
2007,山口,albacore_tuna,46
2007,徳島,albacore_tuna,675
2007,香川,albacore_tuna,NA
2007,愛媛,albacore_tuna,187
2007,高知,albacore_tuna,3738
2007,福岡,albacore_tuna,0.25
2007,佐賀,albacore_tuna,0
2007,長崎,albacore_tuna,47
2007,熊本,albacore_tuna,30
2007,大分,albacore_tuna,991
2007,宮崎,albacore_tuna,5681
2007,鹿児島,albacore_tuna,1117
2007,沖縄,albacore_tuna,634
2008,北海道,albacore_tuna,204
2008,青森,albacore_tuna,150
2008,岩手,albacore_tuna,467
2008,宮城,albacore_tuna,1360
2008,秋田,albacore_tuna,NA
2008,山形,albacore_tuna,NA
2008,福島,albacore_tuna,283
2008,茨城,albacore_tuna,221
2008,千葉,albacore_tuna,69
2008,東京,albacore_tuna,130
2008,神奈川,albacore_tuna,214
2008,新潟,albacore_tuna,0.25
2008,富山,albacore_tuna,155
2008,石川,albacore_tuna,8
2008,福井,albacore_tuna,5
2008,静岡,albacore_tuna,1693
2008,愛知,albacore_tuna,0
2008,三重,albacore_tuna,1674
2008,京都,albacore_tuna,2
2008,大阪,albacore_tuna,0
2008,兵庫,albacore_tuna,0
2008,和歌山,albacore_tuna,215
2008,鳥取,albacore_tuna,0
2008,島根,albacore_tuna,4
2008,岡山,albacore_tuna,0
2008,広島,albacore_tuna,0
2008,山口,albacore_tuna,NA
2008,徳島,albacore_tuna,388
2008,香川,albacore_tuna,NA
2008,愛媛,albacore_tuna,68
2008,高知,albacore_tuna,2813
2008,福岡,albacore_tuna,NA
2008,佐賀,albacore_tuna,0
2008,長崎,albacore_tuna,203
2008,熊本,albacore_tuna,59
2008,大分,albacore_tuna,1418
2008,宮崎,albacore_tuna,3653
2008,鹿児島,albacore_tuna,1432
2008,沖縄,albacore_tuna,817
2009,北海道,albacore_tuna,NA
2009,青森,albacore_tuna,207
2009,岩手,albacore_tuna,217
2009,宮城,albacore_tuna,1217
2009,秋田,albacore_tuna,NA
2009,山形,albacore_tuna,NA
2009,福島,albacore_tuna,166
2009,茨城,albacore_tuna,214
2009,千葉,albacore_tuna,90
2009,東京,albacore_tuna,NA
2009,神奈川,albacore_tuna,191
2009,新潟,albacore_tuna,NA
2009,富山,albacore_tuna,117
2009,石川,albacore_tuna,1
2009,福井,albacore_tuna,1
2009,静岡,albacore_tuna,1856
2009,愛知,albacore_tuna,0
2009,三重,albacore_tuna,1746
2009,京都,albacore_tuna,1
2009,大阪,albacore_tuna,0
2009,兵庫,albacore_tuna,NA
2009,和歌山,albacore_tuna,333
2009,鳥取,albacore_tuna,0
2009,島根,albacore_tuna,1
2009,岡山,albacore_tuna,0
2009,広島,albacore_tuna,0
2009,山口,albacore_tuna,NA
2009,徳島,albacore_tuna,505
2009,香川,albacore_tuna,NA
2009,愛媛,albacore_tuna,47
2009,高知,albacore_tuna,3050
2009,福岡,albacore_tuna,NA
2009,佐賀,albacore_tuna,0
2009,長崎,albacore_tuna,25
2009,熊本,albacore_tuna,26
2009,大分,albacore_tuna,1075
2009,宮崎,albacore_tuna,5329
2009,鹿児島,albacore_tuna,1350
2009,沖縄,albacore_tuna,744
2010,北海道,albacore_tuna,NA
2010,青森,albacore_tuna,88
2010,岩手,albacore_tuna,201
2010,宮城,albacore_tuna,1603
2010,秋田,albacore_tuna,NA
2010,山形,albacore_tuna,NA
2010,福島,albacore_tuna,112
2010,茨城,albacore_tuna,354
2010,千葉,albacore_tuna,76
2010,東京,albacore_tuna,170
2010,神奈川,albacore_tuna,265
2010,新潟,albacore_tuna,NA
2010,富山,albacore_tuna,117
2010,石川,albacore_tuna,1
2010,福井,albacore_tuna,NA
2010,静岡,albacore_tuna,1995
2010,愛知,albacore_tuna,0
2010,三重,albacore_tuna,1790
2010,京都,albacore_tuna,1
2010,大阪,albacore_tuna,0
2010,兵庫,albacore_tuna,NA
2010,和歌山,albacore_tuna,245
2010,鳥取,albacore_tuna,0
2010,島根,albacore_tuna,6
2010,岡山,albacore_tuna,0
2010,広島,albacore_tuna,0
2010,山口,albacore_tuna,52
2010,徳島,albacore_tuna,237
2010,香川,albacore_tuna,NA
2010,愛媛,albacore_tuna,12
2010,高知,albacore_tuna,2761
2010,福岡,albacore_tuna,12
2010,佐賀,albacore_tuna,0
2010,長崎,albacore_tuna,19
2010,熊本,albacore_tuna,16
2010,大分,albacore_tuna,819
2010,宮崎,albacore_tuna,2123
2010,鹿児島,albacore_tuna,1933
2010,沖縄,albacore_tuna,917
2011,北海道,albacore_tuna,22
2011,青森,albacore_tuna,236
2011,岩手,albacore_tuna,266
2011,宮城,albacore_tuna,1513
2011,秋田,albacore_tuna,NA
2011,山形,albacore_tuna,NA
2011,福島,albacore_tuna,90
2011,茨城,albacore_tuna,232
2011,千葉,albacore_tuna,75
2011,東京,albacore_tuna,181
2011,神奈川,albacore_tuna,232
2011,新潟,albacore_tuna,NA
2011,富山,albacore_tuna,198
2011,石川,albacore_tuna,0.25
2011,福井,albacore_tuna,NA
2011,静岡,albacore_tuna,1655
2011,愛知,albacore_tuna,0
2011,三重,albacore_tuna,1931
2011,京都,albacore_tuna,1
2011,大阪,albacore_tuna,0
2011,兵庫,albacore_tuna,NA
2011,和歌山,albacore_tuna,241
2011,鳥取,albacore_tuna,0
2011,島根,albacore_tuna,5
2011,岡山,albacore_tuna,0
2011,広島,albacore_tuna,0
2011,山口,albacore_tuna,59
2011,徳島,albacore_tuna,243
2011,香川,albacore_tuna,NA
2011,愛媛,albacore_tuna,2
2011,高知,albacore_tuna,3136
2011,福岡,albacore_tuna,0.25
2011,佐賀,albacore_tuna,0
2011,長崎,albacore_tuna,19
2011,熊本,albacore_tuna,22
2011,大分,albacore_tuna,853
2011,宮崎,albacore_tuna,3138
2011,鹿児島,albacore_tuna,2020
2011,沖縄,albacore_tuna,828
2012,北海道,albacore_tuna,5
2012,青森,albacore_tuna,405
2012,岩手,albacore_tuna,405
2012,宮城,albacore_tuna,1520
2012,秋田,albacore_tuna,NA
2012,山形,albacore_tuna,0
2012,福島,albacore_tuna,245
2012,茨城,albacore_tuna,519
2012,千葉,albacore_tuna,76
2012,東京,albacore_tuna,595
2012,神奈川,albacore_tuna,263
2012,新潟,albacore_tuna,NA
2012,富山,albacore_tuna,111
2012,石川,albacore_tuna,0.25
2012,福井,albacore_tuna,NA
2012,静岡,albacore_tuna,3003
2012,愛知,albacore_tuna,0
2012,三重,albacore_tuna,2852
2012,京都,albacore_tuna,3
2012,大阪,albacore_tuna,0
2012,兵庫,albacore_tuna,NA
2012,和歌山,albacore_tuna,243
2012,鳥取,albacore_tuna,0
2012,島根,albacore_tuna,3
2012,岡山,albacore_tuna,0
2012,広島,albacore_tuna,0
2012,山口,albacore_tuna,53
2012,徳島,albacore_tuna,362
2012,香川,albacore_tuna,NA
2012,愛媛,albacore_tuna,152
2012,高知,albacore_tuna,3409
2012,福岡,albacore_tuna,0
2012,佐賀,albacore_tuna,0
2012,長崎,albacore_tuna,23
2012,熊本,albacore_tuna,21
2012,大分,albacore_tuna,838
2012,宮崎,albacore_tuna,3913
2012,鹿児島,albacore_tuna,2397
2012,沖縄,albacore_tuna,879
2013,北海道,albacore_tuna,1
2013,青森,albacore_tuna,195
2013,岩手,albacore_tuna,358
2013,宮城,albacore_tuna,1476
2013,秋田,albacore_tuna,NA
2013,山形,albacore_tuna,0
2013,福島,albacore_tuna,146
2013,茨城,albacore_tuna,325
2013,千葉,albacore_tuna,39
2013,東京,albacore_tuna,900
2013,神奈川,albacore_tuna,175
2013,新潟,albacore_tuna,1
2013,富山,albacore_tuna,231
2013,石川,albacore_tuna,0.25
2013,福井,albacore_tuna,NA
2013,静岡,albacore_tuna,2071
2013,愛知,albacore_tuna,0
2013,三重,albacore_tuna,2122
2013,京都,albacore_tuna,1
2013,大阪,albacore_tuna,0
2013,兵庫,albacore_tuna,NA
2013,和歌山,albacore_tuna,160
2013,鳥取,albacore_tuna,NA
2013,島根,albacore_tuna,NA
2013,岡山,albacore_tuna,0
2013,広島,albacore_tuna,0
2013,山口,albacore_tuna,36
2013,徳島,albacore_tuna,305
2013,香川,albacore_tuna,NA
2013,愛媛,albacore_tuna,47
2013,高知,albacore_tuna,3247
2013,福岡,albacore_tuna,1
2013,佐賀,albacore_tuna,0
2013,長崎,albacore_tuna,12
2013,熊本,albacore_tuna,18
2013,大分,albacore_tuna,684
2013,宮崎,albacore_tuna,4075
