"","alphabet_pref","fish_stock","harvest_SQ","rank_number"
"104","kanagawa","bigeye_tuna_single_stock",2675.18380214999,4
"105","kanagawa","yellowfin_tuna_single_stock",1898.59487897708,5
"106","kanagawa","japanese_anchovy_pacific_stock",1413.26241272642,6
"107","kanagawa","japanese_jack_mackerel_pacific_stock",725.419511542583,7
"108","kanagawa","japanese_common_squid_winter_stock",577.391042169228,8
"109","kanagawa","round_herring_pacific_stock",505.93578410687,9
"110","kanagawa","yellowtail_single_stock",479.389595312892,10
"111","niigata","skipjack_single_stock",5171.0926475998,1
"112","niigata","japanese_sardine_tsushima_current_stock",3981.0851000958,2
"113","niigata","japanese_jack_mackerel_tsushima_current_stock",1619.18645085364,3
"114","niigata","yellowtail_single_stock",1516.7397593621,4
"115","niigata","red_snow_crab_single_stock",1464.52069318922,5
"116","niigata","righteye_flounder_sea_of_japan_stock",1287.66497734282,6
"117","niigata","yellowfin_tuna_single_stock",1283.89779219148,7
"118","niigata","japanese_common_squid_winter_stock",898.584410823023,8
"119","niigata","mackerel_tsushima_current_stock",578.106582758415,9
"120","niigata","smelt_sea_of_japan_stock",551.736915225486,10
"121","toyama","saury_single_stock",4910.75903657838,1
"122","toyama","japanese_sardine_tsushima_current_stock",2639.66012699396,2
"123","toyama","japanese_jack_mackerel_tsushima_current_stock",2422.0399739631,3
"124","toyama","japanese_common_squid_winter_stock",1861.35342241912,4
"125","toyama","auxis_single_stock",1672.39468750367,5
"126","toyama","yellowtail_single_stock",1430.98718565292,6
"127","toyama","bigeye_tuna_single_stock",1120.9815649694,7
"128","toyama","japanese_spanish_mackerel_east_china_sea_stock",621.507798049554,8
"129","toyama","japanese_anchovy_tsushima_current_stock",575.853523063033,9
"130","toyama","mackerel_tsushima_current_stock",574.295652428605,10
"131","ishikawa","japanese_sardine_tsushima_current_stock",16178.3981604404,1
"132","ishikawa","japanese_common_squid_winter_stock",12566.9338768893,2
"133","ishikawa","japanese_jack_mackerel_tsushima_current_stock",6805.08103395537,3
"134","ishikawa","mackerel_tsushima_current_stock",6262.28239377559,4
"135","ishikawa","yellowtail_single_stock",5277.97847536122,5
"136","ishikawa","japanese_anchovy_tsushima_current_stock",3408.99559724071,6
"137","ishikawa","righteye_flounder_sea_of_japan_stock",2652.31196703773,7
"138","ishikawa","japanese_spanish_mackerel_east_china_sea_stock",1162.02419058687,8
"139","ishikawa","sandfish_sea_of_japan_west_stock",1102.03655130073,9
"140","ishikawa","smelt_sea_of_japan_stock",1092.56484846656,10
"141","fukui","righteye_flounder_sea_of_japan_stock",1741.29556720288,1
"142","fukui","yellowtail_single_stock",1579.52543314752,2
"143","fukui","japanese_common_squid_winter_stock",1454.12997808718,3
"144","fukui","japanese_spanish_mackerel_east_china_sea_stock",1355.08745347667,4
"145","fukui","japanese_jack_mackerel_tsushima_current_stock",1220.57090203021,5
"146","fukui","mackerel_tsushima_current_stock",281.315947982321,6
"147","fukui","sandfish_sea_of_japan_west_stock",268.150698673636,7
"148","fukui","flyingfish_single_stock",230.614819062129,8
"149","fukui","octopus_single_stock",191.981769609988,9
"150","fukui","spiny_top_shell_single_stock",150.000133591371,10
"151","shizuoka","mackerel_pacific_stock",45342.4417199677,1
"152","shizuoka","skipjack_single_stock",30260.8918477183,2
"153","shizuoka","japanese_sardine_pacific_stock",22997.9933674628,3
"154","shizuoka","yellowfin_tuna_single_stock",7715.36950113104,4
"155","shizuoka","whitebait_single_stock",6822.85303456828,5
"156","shizuoka","bigeye_tuna_single_stock",3545.66069737881,6
"157","shizuoka","albacore_tuna_single_stock",2615.06664797502,7
"158","shizuoka","manila_clam_single_stock",1943.79836451,8
"159","shizuoka","round_herring_pacific_stock",1754.66508293926,9
"160","shizuoka","japanese_jack_mackerel_pacific_stock",1751.71276451377,10
"161","aichi","japanese_sardine_pacific_stock",8164.20886207179,1
"162","aichi","manila_clam_single_stock",7372.42489394999,2
"163","aichi","japanese_anchovy_pacific_stock",5862.32047437713,3
"164","aichi","whitebait_single_stock",5689.4632500141,4
"165","aichi","sand_lance_ise_mikawa_bay_stock",2983.18547940882,5
"166","aichi","righteye_flounder_pacific_north",1204.96048961913,6
"167","aichi","mackerel_pacific_stock",524.127782736504,7
"168","aichi","smelt_pacific_stock",436.312540031146,8
"169","aichi","shad_single_stock",417.151003848121,9
"170","aichi","amberstripe_scad_single_stock",415.559201171484,10
"171","mie","japanese_sardine_pacific_stock",30927.5403122831,1
"172","mie","mackerel_pacific_stock",23487.2390934016,2
"173","mie","skipjack_single_stock",16483.296171498,3
"174","mie","japanese_anchovy_pacific_stock",8946.8547348722,4
"175","mie","round_herring_pacific_stock",8193.35960304382,5
"176","mie","albacore_tuna_single_stock",3696.39282784449,6
"177","mie","sand_lance_ise_mikawa_bay_stock",2688.59386958005,7
"178","mie","yellowfin_tuna_single_stock",2611.30011343754,8
"179","mie","japanese_jack_mackerel_pacific_stock",2593.6910246062,9
"180","mie","amberstripe_scad_single_stock",2407.21367409641,10
"181","kyoto","japanese_jack_mackerel_tsushima_current_stock",2179.91526718229,1
"182","kyoto","japanese_sardine_tsushima_current_stock",1692.02468198073,2
"183","kyoto","japanese_spanish_mackerel_east_china_sea_stock",1452.07466157758,3
"184","kyoto","yellowtail_single_stock",1229.04911821171,4
"185","kyoto","japanese_anchovy_tsushima_current_stock",799.244290399597,5
"186","kyoto","mackerel_tsushima_current_stock",755.257101725936,6
"187","kyoto","righteye_flounder_sea_of_japan_stock",372.017139366469,7
"188","kyoto","dolphinfish_single_stock",161.787183209889,8
"189","kyoto","amberstripe_scad_single_stock",157.789671065507,9
"190","kyoto","sandfish_sea_of_japan_west_stock",150.768594989967,10
"191","osaka","japanese_anchovy_seto_inland_sea_stock",5512.72010034805,1
"192","osaka","japanese_sardine_pacific_stock",3808.05082503721,2
"193","osaka","whitebait_single_stock",2590.58112946012,3
"194","osaka","sand_lance_seto_inland_sea_east_stock",1136.2448179474,4
"195","osaka","shad_single_stock",810.263932193597,5
"196","osaka","japanese_jack_mackerel_pacific_stock",333.198647360929,6
"197","osaka","righteye_flounder_pacific_north",319.365365949838,7
"198","osaka","japanese_seabass_single_stock",277.062410026437,8
"199","osaka","conger_eel_single_stock",173.411667041436,9
"200","osaka","octopus_single_stock",119.488172294955,10
"201","hyogo","sand_lance_seto_inland_sea_east_stock",12559.9397962922,1
"202","hyogo","whitebait_single_stock",9268.48237177719,2
"203","hyogo","japanese_sardine_tsushima_current_stock",8775.15503237453,3
"204","hyogo","righteye_flounder_sea_of_japan_stock",4582.9958020271,4
"205","hyogo","octopus_single_stock",2209.36094247028,5
"206","hyogo","red_snow_crab_single_stock",1685.73575320709,6
"207","hyogo","sandfish_sea_of_japan_west_stock",1668.40696618814,7
"208","hyogo","japanese_common_squid_winter_stock",1206.96248850528,8
"209","hyogo","japanese_jack_mackerel_tsushima_current_stock",1023.28143419482,9
"210","hyogo","amberstripe_scad_single_stock",867.88413265351,10
"211","wakayama","japanese_sardine_pacific_stock",8042.09462695533,1
"212","wakayama","mackerel_pacific_stock",5739.52556754245,2
"213","wakayama","amberstripe_scad_single_stock",3459.49964340769,3
"214","wakayama","round_herring_pacific_stock",2762.89268606656,4
"215","wakayama","whitebait_single_stock",2425.39173968692,5
"216","wakayama","japanese_jack_mackerel_pacific_stock",2061.68069953336,6
"217","wakayama","largehead_hairtail_single_stock",1708.46646897042,7
"218","wakayama","skipjack_single_stock",709.12923314039,8
"219","wakayama","albacore_tuna_single_stock",472.815313618603,9
"220","wakayama","yellowtail_single_stock",431.607066678917,10
"221","tottori","mackerel_tsushima_current_stock",11674.8428067409,1
"222","tottori","japanese_jack_mackerel_tsushima_current_stock",9582.41504772872,2
"223","tottori","yellowtail_single_stock",4350.34325429151,3
"224","tottori","japanese_common_squid_winter_stock",3673.55452630182,4
"225","tottori","skipjack_single_stock",3658.53866113221,5
"226","tottori","japanese_sardine_tsushima_current_stock",3236.6958631283,6
"227","tottori","righteye_flounder_sea_of_japan_stock",2990.53212537157,7
"228","tottori","red_snow_crab_single_stock",2801.40592336947,8
"229","tottori","sandfish_sea_of_japan_west_stock",1394.11541181968,9
"230","tottori","round_herring_tsushima_current_stock",483.043215539794,10
"231","shimane","japanese_sardine_tsushima_current_stock",61382.895407412,1
"232","shimane","japanese_jack_mackerel_tsushima_current_stock",30389.5700372898,2
"233","shimane","mackerel_tsushima_current_stock",20732.7313042751,3
"234","shimane","round_herring_tsushima_current_stock",10083.4500102145,4
"235","shimane","yellowtail_single_stock",7044.79435556513,5
"236","shimane","righteye_flounder_sea_of_japan_stock",5175.1940141209,6
"237","shimane","japanese_anchovy_tsushima_current_stock",4500.52736843453,7
"238","shimane","red_snow_crab_single_stock",2765.57322957809,8
"239","shimane","japanese_common_squid_winter_stock",2361.90679171679,9
"240","shimane","japanese_spanish_mackerel_east_china_sea_stock",949.826708144798,10
"241","okayama","octopus_single_stock",710.708257789428,1
"242","okayama","righteye_flounder_pacific_north",675.028729457794,2
"243","okayama","sand_lance_seto_inland_sea_east_stock",436.131935717307,3
"244","okayama","whitebait_single_stock",196.557665932281,4
"245","okayama","sea_cucumber_single_stock",151.060079562086,5
"246","okayama","swimming_crab_single_stock",123.238417675631,6
"247","okayama","japanese_seabass_single_stock",122.0767066802,7
"248","okayama","blackhead_seabream_and_goldlined_seabream_single_stock",94.6855956934044,8
"249","okayama","japanese_seabream_seto_inland_sea_central_west_stock",80.466288637516,9
"250","okayama","conger_eel_single_stock",64.7409965368111,10
"251","hiroshima","japanese_anchovy_seto_inland_sea_stock",5377.27383621965,1
"252","hiroshima","whitebait_single_stock",2353.96988509891,2
"253","hiroshima","largehead_hairtail_single_stock",720.196790984775,3
"254","hiroshima","righteye_flounder_pacific_north",561.28866904662,4
"255","hiroshima","blackhead_seabream_and_goldlined_seabream_single_stock",409.184384575117,5
"256","hiroshima","octopus_single_stock",392.401621490289,6
"257","hiroshima","japanese_sardine_pacific_stock",331.734293092867,7
"258","hiroshima","sea_cucumber_single_stock",290.987613578213,8
"259","hiroshima","shad_single_stock",224.779441399381,9
"260","hiroshima","japanese_seabream_seto_inland_sea_central_west_stock",219.525822048973,10
"261","yamaguchi","japanese_sardine_tsushima_current_stock",7512.48796489041,1
"262","yamaguchi","mackerel_tsushima_current_stock",5605.87851515017,2
"263","yamaguchi","japanese_jack_mackerel_tsushima_current_stock",4810.20123039509,3
"264","yamaguchi","righteye_flounder_sea_of_japan_stock",3162.77155463411,4
"265","yamaguchi","round_herring_tsushima_current_stock",3045.39314624801,5
"266","yamaguchi","japanese_anchovy_tsushima_current_stock",1753.83092049212,6
"267","yamaguchi","yellowtail_single_stock",1461.49121062907,7
"268","yamaguchi","sea_cucumber_single_stock",1233.48604649223,8
"269","yamaguchi","japanese_seabream_sea_of_japan_west_east_china_sea_stock",892.178753187714,9
"270","yamaguchi","crimson_seabream_and_yellowback_seabream_single_stock",816.158564220896,10
"271","tokushima","japanese_sardine_pacific_stock",5013.43650070289,1
"272","tokushima","whitebait_single_stock",2623.9731653714,2
"273","tokushima","japanese_anchovy_seto_inland_sea_stock",1094.08577235189,3
"274","tokushima","daggertooth_pike_conger_single_stock",814.27581194842,4
"275","tokushima","mackerel_pacific_stock",804.937628685688,5
"276","tokushima","largehead_hairtail_single_stock",661.786564082808,6
"277","tokushima","amberstripe_scad_single_stock",595.048022642991,7
"278","tokushima","japanese_jack_mackerel_pacific_stock",472.492879888252,8
"279","tokushima","albacore_tuna_single_stock",467.607305378349,9
"280","tokushima","round_herring_pacific_stock",388.945326068511,10
"281","kagawa","japanese_anchovy_seto_inland_sea_stock",4860.97782350408,1
"282","kagawa","sand_lance_seto_inland_sea_east_stock",1889.23437147593,2
"283","kagawa","whitebait_single_stock",1868.18322124826,3
"284","kagawa","octopus_single_stock",1465.33149848932,4
"285","kagawa","righteye_flounder_pacific_north",1371.05708577513,5
"286","kagawa","japanese_sardine_pacific_stock",431.057622576991,6
"287","kagawa","japanese_seabream_seto_inland_sea_east_stock",216.46007159165,7
"288","kagawa","blackhead_seabream_and_goldlined_seabream_single_stock",180.046614258421,8
"289","kagawa","japanese_seabass_single_stock",172.067039710988,9
"290","kagawa","sea_cucumber_single_stock",162.192625108045,10
"291","ehime","mackerel_pacific_stock",7576.09785460307,1
"292","ehime","japanese_sardine_pacific_stock",7336.98339837965,2
"293","ehime","japanese_anchovy_seto_inland_sea_stock",6543.82621739635,3
"294","ehime","whitebait_single_stock",5225.76929679162,4
"295","ehime","japanese_jack_mackerel_pacific_stock",4994.24298730477,5
"296","ehime","round_herring_pacific_stock",3984.57992820483,6
"297","ehime","skipjack_single_stock",3350.78528796054,7
"298","ehime","largehead_hairtail_single_stock",1958.31066099852,8
"299","ehime","lizardfish_single_stock",1616.33943171337,9
"300","ehime","righteye_flounder_pacific_north",1543.42506370819,10
"301","kochi","japanese_sardine_pacific_stock",18660.4056979805,1
"302","kochi","skipjack_single_stock",8936.46650365441,2
"303","kochi","round_herring_pacific_stock",7153.67882759146,3
"304","kochi","auxis_single_stock",7039.23257649789,4
"305","kochi","mackerel_pacific_stock",5870.59546050305,5
"306","kochi","albacore_tuna_single_stock",3702.75018962742,6
"307","kochi","yellowfin_tuna_single_stock",3367.19689472918,7
"308","kochi","bigeye_tuna_single_stock",2806.89731144975,8
"309","kochi","japanese_jack_mackerel_pacific_stock",1671.44074880717,9
"310","kochi","amberstripe_scad_single_stock",1632.67682998192,10
"311","fukuoka","mackerel_tsushima_current_stock",11648.6282253813,1
"312","fukuoka","japanese_jack_mackerel_tsushima_current_stock",5253.36368865304,2
"313","fukuoka","japanese_sardine_tsushima_current_stock",4021.73434170495,3
"314","fukuoka","yellowtail_single_stock",1998.4758181347,4
"315","fukuoka","japanese_seabream_sea_of_japan_west_east_china_sea_stock",1279.31610798382,5
"316","fukuoka","manila_clam_single_stock",1234.81179828728,6
"317","fukuoka","righteye_flounder_sea_of_japan_stock",1091.26696534215,7
"318","fukuoka","japanese_spanish_mackerel_east_china_sea_stock",907.103741737091,8
"319","fukuoka","octopus_single_stock",800.078019645088,9
"320","fukuoka","amberstripe_scad_single_stock",713.206037872636,10
"321","saga","mackerel_tsushima_current_stock",3430.76115872693,1
"322","saga","japanese_jack_mackerel_tsushima_current_stock",1870.82603149425,2
"323","saga","japanese_anchovy_tsushima_current_stock",342.733977796895,3
"324","saga","shad_single_stock",304.761283148431,4
"325","saga","japanese_common_squid_winter_stock",235.27143889102,5
"326","saga","amberstripe_scad_single_stock",232.795036242469,6
"327","saga","japanese_seabream_sea_of_japan_west_east_china_sea_stock",204.367008898871,7
"328","saga","japanese_sardine_tsushima_current_stock",173.394421239016,8
"329","saga","japanese_spanish_mackerel_east_china_sea_stock",155.09854155594,9
"330","saga","righteye_flounder_sea_of_japan_stock",144.450800413495,10
"331","nagasaki","mackerel_tsushima_current_stock",101754.726874352,1
"332","nagasaki","japanese_jack_mackerel_tsushima_current_stock",37788.8261108385,2
"333","nagasaki","japanese_sardine_tsushima_current_stock",23802.6715397559,3
"334","nagasaki","japanese_anchovy_tsushima_current_stock",11368.0902651729,4
"335","nagasaki","japanese_common_squid_winter_stock",9203.10925221187,5
"336","nagasaki","yellowtail_single_stock",7019.05436246171,6
"337","nagasaki","round_herring_tsushima_current_stock",6706.00321037221,7
"338","nagasaki","amberstripe_scad_single_stock",6448.82373348993,8
"339","nagasaki","skipjack_single_stock",3414.829728418,9
"340","nagasaki","japanese_spanish_mackerel_east_china_sea_stock",1806.41206069363,10
"341","kumamoto","manila_clam_single_stock",2197.41831251475,1
"342","kumamoto","round_herring_tsushima_current_stock",2162.74425654998,2
"343","kumamoto","japanese_sardine_tsushima_current_stock",1542.130603547,3
"344","kumamoto","whitebait_single_stock",1317.46759868124,4
"345","kumamoto","shad_single_stock",895.066780728693,5
"346","kumamoto","auxis_single_stock",667.575370768485,6
"347","kumamoto","japanese_jack_mackerel_tsushima_current_stock",665.176181653269,7
"348","kumamoto","japanese_seabream_sea_of_japan_west_east_china_sea_stock",641.794826303026,8
"349","kumamoto","japanese_anchovy_tsushima_current_stock",580.068443201459,9
"350","kumamoto","dolphinfish_single_stock",549.106151103577,10
"351","oita","mackerel_pacific_stock",4143.15954059781,1
"352","oita","japanese_sardine_pacific_stock",3456.33931836538,2
"353","oita","round_herring_pacific_stock",3056.32776934309,3
"354","oita","japanese_anchovy_seto_inland_sea_stock",3015.8225139474,4
"355","oita","japanese_jack_mackerel_pacific_stock",2604.67609013195,5
"356","oita","whitebait_single_stock",2322.2643156478,6
"357","oita","largehead_hairtail_single_stock",1725.45378328195,7
"358","oita","albacore_tuna_single_stock",1383.13923671671,8
"359","oita","amberstripe_scad_single_stock",1237.75229259274,9
"360","oita","bigeye_tuna_single_stock",1120.03707435513,10
"361","miyazaki","round_herring_pacific_stock",14353.9620507621,1
"362","miyazaki","japanese_sardine_pacific_stock",11622.2363956692,2
"363","miyazaki","mackerel_pacific_stock",9463.6712812523,3
"364","miyazaki","skipjack_single_stock",9355.62461423687,4
"365","miyazaki","yellowfin_tuna_single_stock",4256.55823843389,5
"366","miyazaki","albacore_tuna_single_stock",3840.6007801522,6
"367","miyazaki","japanese_anchovy_pacific_stock",3167.69510644831,7
"368","miyazaki","amberstripe_scad_single_stock",2818.92434670532,8
"369","miyazaki","whitebait_single_stock",2803.66616670202,9
"370","miyazaki","japanese_jack_mackerel_pacific_stock",2535.83934755462,10
"371","kagoshima","mackerel_tsushima_current_stock",10677.5338877034,1
"372","kagoshima","round_herring_pacific_stock",6394.58336379502,2
"373","kagoshima","whitebait_single_stock",4857.02340527645,3
"374","kagoshima","bigeye_tuna_single_stock",3551.88574915471,4
"375","kagoshima","skipjack_single_stock",3494.53105088994,5
"376","kagoshima","yellowfin_tuna_single_stock",3245.35738632863,6
"377","kagoshima","japanese_jack_mackerel_pacific_stock",2436.74865402112,7
"378","kagoshima","amberstripe_scad_single_stock",2249.99718813597,8
"379","kagoshima","japanese_sardine_pacific_stock",2140.65691420741,9
"380","kagoshima","albacore_tuna_single_stock",2108.34540484746,10
"381","okinawa","yellowfin_tuna_single_stock",1319.08593645248,1
"382","okinawa","bigeye_tuna_single_stock",1216.89029370984,2
"383","okinawa","albacore_tuna_single_stock",1169.35947777886,3
"384","okinawa","blue_marlin_single_stock",325.597704945587,4
"385","okinawa","dolphinfish_single_stock",312.743425284388,5
"386","okinawa","skipjack_single_stock",289.900276937957,6
"387","okinawa","japanese_spanish_mackerel_east_china_sea_stock",149.530382426974,7
"388","okinawa","octopus_single_stock",106.985028492957,8
"389","okinawa","swordfish_single_stock",87.0861181398685,9
"390","okinawa","sea_urchin_single_stock",59.6070086248766,10
